"","poex","adsa","rpat","sk1","dfsy","aZm1","aZm2","aZm3","aZm4","maxlev"
"p08_37",-1,5.37,0.077,0.373,0.168,2.845,1.38,0.887,1.108,4
"0_1",-1,12.32,0,1,-0.321,0.549,0.446,0.314,NA,3
"n04_0",-1,6.91,-0.04,0,0.357,46.88,15.94,0.724,0.847,4
"n17_0",-1,7.24,-0.17,0,0.414,2.738,0.554,0.803,1.22,4
"n15_63",-1,7.77,-0.151,0.637,-0.171,2.672,0.703,0.661,0.9,4
"p14_55",-1,9.47,0.14,0.545,-0.06,0.9062,0.9368,1.265,NA,3
"p23_0",-1,13.67,0.23,0,0.4,80.55,45.2,42.24,NA,3
"n07_50",-1,10.94,-0.07,0.5,-0.002,0.638,0.216,0.288,0.332,4
"n00_45",-1,8.65,-0.002,0.45,0.08,0.652,0.193,0.308,0.581,4
"n33_39",-1,5.674,-0.334,0.393,0.154,0.598,0.538,1.066,1.919,4
"p09_30",-1,9.24,0.094,0.3,0.265,1.227,0.408,0.375,0.386,4
"n27_23",-1,6.99,-0.272,0.236,0.365,0.983,0.438,0.541,0.537,4
"n07_41_n2",-2,12.15,-0.075,0.411,0.114,0.147,0.127,0.164,NA,3
"n20_42_n1.5",-1.5,7.51,-0.197,0.417,0.088,3.65,2.79,0.349,0.314,4
"p08_41_n0.5",-0.5,7.77,0.084,0.414,0.117,11.71,2.46,1.27,NA,3
"n20_53_n0.5",-0.5,7.38,-0.198,0.529,-0.028,0.842,0.559,0.785,2.441,4
"n11_46_n0.33",-0.333,8.86,-0.112,0.461,0.048,3.328,0.297,0.396,0.526,4
"n17_49_n0.1",-0.1,9.828,-0.17,0.494,0.006,13.76,0.696,0.563,NA,3
"n17_60_n0.75",-0.75,7.788,-0.172,0.593,-0.118,3.63,1.034,1.297,NA,3
"n14_43_n1.25",-1.25,11.027,-0.142,0.431,0.098,17.34,4.63,1.15,NA,3
"n11_57_n0.66",-0.666,7.686,-0.11,0.571,-0.103,1.334,1.278,0.697,0.909,4
"n10_44_n0.25",-0.25,9.874,-0.095,0.44,0.077,0.366,0.418,0.549,NA,3
"n24_23_n1.75",-1.75,12.2,-0.241,0.226,0.35,2.181,2.846,1.128,NA,3
"p17_39_0",0,10.28,0.172,0.385,0.132,2.113,0.272,0.28,NA,3
"p24_45_n2",-2,11.724,0.243,0.451,0.063,6.348,3.49,2.187,0.707,4
"n11_27_n0.25",-0.25,9.439,-0.115,0.27,0.318,14.46,6.322,1.488,NA,3
"p08_20_n1.33",-1.33,8.665,0.077,0.205,0.315,0.489,0.31,0.156,0.164,4
"n06_51_n0.5",-0.5,9.808,-0.065,0.51,-0.014,5.073,0.537,0.538,NA,3
"p04_29_n0.2",-0.2,9.138,0.037,0.29,0.246,2.677,0.709,0.858,1.688,4
"n11_48_n0.3",-0.3,8.228,-0.114,0.483,0.023,5.773,1.128,0.592,0.787,4
"p04_59_n3",-3,10.48,0.042,0.59,-0.127,6.851,3.971,2.05,1.138,4
"p17_38_0",0,11.32,0.165,0.383,0.148,0.276,0.619,0.841,NA,3
"n03_49_n0.4",-0.4,7.6,-0.029,0.478,0.028,0.736,0.353,0.573,0.756,4
"p34_29_n0.9",-0.9,10.45,0.343,0.29,0.29,4.69,4.09,0.318,NA,3
"n19_56_n0.7",-0.7,6.888,-0.193,0.555,-0.084,4.72,0.102,0.165,0.179,4
"p05_54_n0.8",-0.8,7.954,0.046,0.545,-0.041,3.69,0.361,0.475,0.509,4
"n17_44_n1.6",-1.6,12.3,-0.167,0.44,0.084,1.5,1.47,1.83,NA,3
"n03_56_n1.4",-1.4,8.904,-0.031,0.556,-0.069,24.3,18.6,1.22,1.12,4
"n15_34_n1.9",-1.9,11.86,-0.151,0.338,0.199,0.816,0.762,0.679,NA,3
"p02_38_n0.5",-0.5,7.624,0.022,0.378,0.128,3,0.529,0.551,0.765,4
"p18_36_n0.25",-0.25,8.337,0.178,0.364,0.162,5.35,0.927,0.446,0.658,4
