"","f0","f02","f03","f04","nr","nfb","simt","tZm1","tZm2","tZm3","tZm4"
"p08_37",5103,5103,5121,5280,5542,439,138721,1.108,0.887,1.38,2.845
"0_1",5535,5535,9888,NA,10731,5196,240.7,0.314,0.446,0.549,2.845
"n04_0",1304,1307,1384,1676,1778,474,68320,0.847,0.724,15.94,46.88
"n17_0",17570,17570,17677,17807,18091,521,108885,1.22,0.803,0.554,2.738
"n15_63",4996,4996,5059,5222,5657,661,116805,0.9,0.661,0.703,2.672
"p14_55",3252,3252,3281,NA,4055,932,345.7,1.265,0.9368,0.9062,2.845
"p23_0",4471,4471,10075,NA,16899,803,23478,42.24,45.2,80.55,2.845
"n07_50",11560,11560,11601,12439,13502,1942,3248,0.332,0.288,0.216,0.638
"n00_45",608,608,681,1151,2246,1638,8356,0.581,0.308,0.193,0.652
"n33_39",2520,2520,2538,2679,2982,462,3075,1.919,1.066,0.538,0.598
"p09_30",711,711,812,1475,1549,838,392.7,0.386,0.375,0.408,1.227
"n27_23",1715,1715,1738,1995,2610,895,820.7,0.537,0.541,0.438,0.983
"n07_41_n2",623,623,4085,NA,10173,9550,18546,0.164,0.127,0.147,2.845
"n20_42_n1.5",3546,3546,3556,4042,5629,2083,12661,0.314,0.349,2.79,3.65
"p08_41_n0.5",2001,2001,2065,NA,2733,732,177.6,1.27,2.46,11.71,2.845
"n20_53_n0.5",1924,1924,1996,2044,2700,776,369.6,2.441,0.785,0.559,0.842
"n11_46_n0.33",2201,2201,2376,2778,3145,944,465.9,0.526,0.396,0.297,3.328
"n17_49_n0.1",1725,1725,1968,NA,2668,943,192.9,0.563,0.696,13.76,2.845
"n17_60_n0.75",1189,1189,1217,NA,1969,780,302.7,1.297,1.034,3.63,2.845
"n14_43_n1.25",1326,1326,1366,NA,2080,754,129.6,1.15,4.63,17.34,2.845
"n11_57_n0.66",2496,2496,2540,2820,3036,540,121.9,0.909,0.697,1.278,1.334
"n10_44_n0.25",907,907,1222,NA,1699,792,133.29,0.549,0.418,0.366,2.845
"n24_23_n1.75",2867,2867,2911,NA,4331,1464,93.4,1.128,2.846,2.181,2.845
"p17_39_0",1855,1855,2634,NA,3152,1297,122.5,0.28,0.272,2.113,2.845
"p24_45_n2",1894,1894,2247,4861,5600,3706,113.1,0.707,2.187,3.49,6.348
"n11_27_n0.25",718,718,739,NA,1358,640,145.4,1.488,6.322,14.46,2.845
"p08_20_n1.33",1181,1181,2445,2864,3180,1999,167.5,0.164,0.156,0.31,0.489
"n06_51_n0.5",3070,3070,3410,NA,3855,785,128.9,0.538,0.537,5.073,2.845
"p04_29_n0.2",4991,4991,5014,5162,5565,574,121,1.688,0.858,0.709,2.677
"n11_48_n0.3",765,765,807,1079,1413,648,178.6,0.787,0.592,1.128,5.773
"p04_59_n3",40653,40653,41838,49118,50526,9873,350.8,1.138,2.05,3.971,6.851
"p17_38_0",890,890,1018,NA,1623,733,233.2,0.841,0.619,0.276,2.845
"n03_49_n0.4",1131,1131,1218,1520,1717,586,229.7,0.756,0.573,0.353,0.736
"p34_29_n0.9",1604,1604,2236,NA,2790,1186,248,0.318,4.09,4.69,2.845
"n19_56_n0.7",1136,1136,2402,2796,2974,1838,272.7,0.179,0.165,0.102,4.72
"p05_54_n0.8",1224,1224,1248,1832,1915,691,275.2,0.509,0.475,0.361,3.69
"n17_44_n1.6",2057,2057,2406,NA,4055,1998,132,1.83,1.47,1.5,2.845
"n03_56_n1.4",2983,2983,3007,3105,3554,571,177.3,1.12,1.22,18.6,24.3
"n15_34_n1.9",6583,6583,8926,NA,9621,3038,95.4,0.679,0.762,0.816,2.845
"p02_38_n0.5",890,890,914,1285,1581,691,182.6,0.765,0.551,0.529,3
"p18_36_n0.25",1268,1268,1288,1715,2192,924,556.8,0.658,0.446,0.927,5.35
